company_id,company_name,broad_sector,pattern_label
BRITANNIA,Britannia Industries Ltd,Consumer Staples,
DABUR,Dabur India Ltd,Consumer Staples,
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,
ITC,"ITC Ltd
",Consumer Staples,
NESTLEIND,Nestle India Ltd,Consumer Staples,
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,
